role,latitude,longitude,height,date_time,person_id
Cycle Courier,51.48775,-0.065737,3.5,2012-12-10 09:36:13,7
Cycle Courier,51.488477,-0.065639,5.91,2012-12-10 09:36:29,7
Cycle Courier,51.489242,-0.065432,4.46,2012-12-10 09:36:44,7
Cycle Courier,51.48936,-0.065355,4.46,2012-12-10 09:36:49,7
Cycle Courier,51.490112,-0.065357,2.54,2012-12-10 09:37:02,7
Cycle Courier,51.490758,-0.065335,2.06,2012-12-10 09:37:13,7
Cycle Courier,51.491265,-0.065293,0.62,2012-12-10 09:37:26,7
Cycle Courier,51.491375,-0.065279,2.06,2012-12-10 09:37:37,7
Cycle Courier,51.491582,-0.065258,3.02,2012-12-10 09:37:45,7
Cycle Courier,51.491809,-0.065214,3.5,2012-12-10 09:37:53,7
Cycle Courier,51.491972,-0.065211,3.5,2012-12-10 09:37:57,7
Cycle Courier,51.492113,-0.065197,3.98,2012-12-10 09:38:08,7
Cycle Courier,51.49226,-0.065064,3.98,2012-12-10 09:38:12,7
Cycle Courier,51.492265,-0.064914,2.54,2012-12-10 09:38:14,7
Cycle Courier,51.492179,-0.064015,-0.34,2012-12-10 09:38:27,7
Cycle Courier,51.492179,-0.063825,0.62,2012-12-10 09:38:30,7
Cycle Courier,51.492196,-0.063773,1.58,2012-12-10 09:38:41,7
Cycle Courier,51.492181,-0.063794,2.06,2012-12-10 09:38:51,7
Cycle Courier,51.492159,-0.063988,2.54,2012-12-10 09:39:01,7
Cycle Courier,51.49217,-0.064055,3.98,2012-12-10 09:39:18,7
Cycle Courier,51.492175,-0.064106,4.94,2012-12-10 09:40:46,7
Cycle Courier,51.492171,-0.064103,4.94,2012-12-10 09:40:55,7
Cycle Courier,51.492254,-0.063785,3.02,2012-12-10 09:41:11,7
Cycle Courier,51.492184,-0.063584,-1.3,2012-12-10 09:41:26,7
Cycle Courier,51.492104,-0.063642,-4.67,2012-12-10 09:41:43,7
Cycle Courier,51.492157,-0.063767,-5.63,2012-12-10 09:42:13,7
Cycle Courier,51.491929,-0.063631,-6.59,2012-12-10 09:42:57,7
Cycle Courier,51.492089,-0.063687,-7.07,2012-12-10 09:43:19,7
Cycle Courier,51.49213,-0.063799,-7.55,2012-12-10 09:43:27,7
Cycle Courier,51.492721,-0.064516,-9.48,2012-12-10 09:43:52,7
Cycle Courier,51.493765,-0.064817,-11.4,2012-12-10 09:44:13,7
Cycle Courier,51.49522,-0.064994,-14.28,2012-12-10 09:44:35,7
Cycle Courier,51.492046,-0.063491,-8.51,2012-12-10 09:48:07,7
Cycle Courier,51.492189,-0.063834,-8.51,2012-12-10 09:48:23,7
Cycle Courier,51.492269,-0.064014,-13.32,2012-12-10 09:48:38,7
Cycle Courier,51.492178,-0.064041,-20.05,2012-12-10 09:48:56,7
Cycle Courier,51.492143,-0.063984,-29.66,2012-12-10 09:49:20,7
Cycle Courier,51.492463,-0.064495,-39.28,2012-12-10 09:49:45,7
Cycle Courier,51.49294,-0.064716,-52.25,2012-12-10 09:50:10,7
Cycle Courier,51.492604,-0.064321,-56.58,2012-12-10 09:50:29,7
Cycle Courier,51.491976,-0.063886,-56.58,2012-12-10 09:50:39,7
Cycle Courier,51.492033,-0.064155,-56.1,2012-12-10 09:51:02,7
Cycle Courier,51.492037,-0.064367,-50.33,2012-12-10 09:51:19,7
Cycle Courier,51.492129,-0.064276,-43.12,2012-12-10 09:51:36,7
Cycle Courier,51.492102,-0.06425,-37.35,2012-12-10 09:53:16,7
Cycle Courier,51.492207,-0.063605,-24.86,2012-12-10 09:53:28,7
Cycle Courier,51.492278,-0.062785,-10.92,2012-12-10 09:53:38,7
Cycle Courier,51.492551,-0.06294,-1.79,2012-12-10 09:53:46,7
Cycle Courier,51.49323,-0.063649,15.04,2012-12-10 09:54:01,7
Cycle Courier,51.493315,-0.063711,18.88,2012-12-10 09:54:05,7
Cycle Courier,51.493418,-0.063855,19.36,2012-12-10 09:54:09,7
Cycle Courier,51.493492,-0.064023,7.35,2012-12-10 09:54:13,7
Cycle Courier,51.493654,-0.064232,9.27,2012-12-10 09:54:17,7
Cycle Courier,51.493804,-0.064451,12.15,2012-12-10 09:54:21,7
Cycle Courier,51.493927,-0.064718,14.56,2012-12-10 09:54:25,7
Cycle Courier,51.493954,-0.064972,19.36,2012-12-10 09:54:30,7
Cycle Courier,51.49412,-0.06534,25.61,2012-12-10 09:54:41,7
Cycle Courier,51.494274,-0.065594,31.38,2012-12-10 09:54:48,7
Cycle Courier,51.494717,-0.065073,33.3,2012-12-10 09:54:51,7
Cycle Courier,51.49559,-0.06568,52.53,2012-12-10 09:55:01,7
Cycle Courier,51.496277,-0.065757,72.72,2012-12-10 09:55:12,7
Cycle Courier,51.49664,-0.065809,79.45,2012-12-10 09:55:17,7
Cycle Courier,51.496721,-0.065861,79.45,2012-12-10 09:55:19,7
Cycle Courier,51.497448,-0.06574,116.46,2012-12-10 09:55:31,7
Cycle Courier,51.497473,-0.065723,100.6,2012-12-10 09:55:33,7
Cycle Courier,51.49781,-0.066097,76.08,2012-12-10 09:55:39,7
Cycle Courier,51.497966,-0.06643,32.82,2012-12-10 09:55:50,7
Cycle Courier,51.497957,-0.066494,31.86,2012-12-10 09:55:51,7
Cycle Courier,51.497986,-0.067142,25.13,2012-12-10 09:55:59,7
Cycle Courier,51.498081,-0.067717,26.57,2012-12-10 09:56:05,7
Cycle Courier,51.49815,-0.068153,28.5,2012-12-10 09:56:09,7
Cycle Courier,51.498236,-0.068313,29.46,2012-12-10 09:56:11,7
Cycle Courier,51.498543,-0.068972,26.57,2012-12-10 09:56:19,7
Cycle Courier,51.49882,-0.069452,33.3,2012-12-10 09:56:29,7
Cycle Courier,51.498866,-0.069485,33.3,2012-12-10 09:56:30,7
Cycle Courier,51.498911,-0.06983,29.46,2012-12-10 09:56:34,7
Cycle Courier,51.49894,-0.070477,20.32,2012-12-10 09:56:40,7
Cycle Courier,51.4994,-0.071335,23.21,2012-12-10 09:56:51,7
Cycle Courier,51.499797,-0.072178,21.77,2012-12-10 09:57:03,7
Cycle Courier,51.500215,-0.073065,18.88,2012-12-10 09:57:16,7
Cycle Courier,51.500244,-0.073134,19.36,2012-12-10 09:57:17,7
Cycle Courier,51.500404,-0.07335,22.73,2012-12-10 09:57:21,7
Cycle Courier,51.500602,-0.073753,32.82,2012-12-10 09:57:33,7
